Wavelength,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBT1,SBT2,SBT3,SBT4,SBT5,SBT6,SBT7,SBT8
437,6.7246,5.0126,5.4006,5.1296,4.395,9.215,4.34,5.4006,6.968,7.1878,5.7472,5.798,6.9788,8.6256,7.5174,6.1652
438,6.621,5.081266667,5.217133333,5.087333333,4.7294,9.5622,4.4232,5.211133333,7.300733333,6.938333333,5.475266667,6.0086,6.514333333,8.570266667,6.966866667,6.203
439,6.851,4.993933333,5.548466667,5.060666667,4.8934,9.0442,4.3552,5.482466667,6.788066667,7.521666667,5.557933333,5.7746,6.627666667,8.502933333,6.885533333,6.023
440,6.989,4.9142,5.6534,5.0028,4.4718,9.0438,4.5016,5.4974,6.501,7.4762,5.5994,5.7894,6.793,8.5208,6.765,5.9514
441,7.042466667,4.851933333,5.592333333,4.910066667,3.766733333,9.323,4.7408,5.359666667,6.3708,7.068933333,5.565933333,5.941466667,6.979,8.613333333,6.661666667,5.9044
442,6.887133333,4.901266667,5.395666667,4.690733333,4.024066667,9.013,4.5288,5.386333333,6.2988,7.178266667,5.105266667,5.836133333,7.039,8.866666667,6.948333333,5.4284
443,6.63375,4.997875,5.134,4.63225,4.19525,9.261,4.30975,5.295375,5.9805,7.1605,4.997875,5.654875,6.866125,8.892625,7.00525,5.55825
444,6.315,5.126,4.829,4.681,4.309,9.881,4.086,5.126,5.498,7.058,5.126,5.423,6.538,8.767,6.909,6.092
445,6.077,4.732666667,4.769,4.539666667,4.189666667,9.387,4.025333333,4.823333333,5.714666667,6.730666667,5.184,5.283,6.422,8.655,6.816333333,5.867333333
446,6.088666667,4.606333333,4.68,4.459,4.150666667,9.114333333,3.855333333,4.799666667,5.711,6.494666667,5.078333333,5.222,6.421,8.424666667,6.712333333,5.748
447,6.35,4.747,4.562,4.439,4.192,9.063,3.576,5.055,5.487,6.35,4.809,5.24,6.535,8.076,6.597,5.734
448,5.948666667,4.541666667,4.518,4.515,4.205333333,9.016333333,3.772,5.061666667,5.547666667,6.328666667,4.828333333,5.427333333,6.314333333,8.08,6.449,5.63
449,5.854333333,4.295666667,4.586333333,4.462,4.054,9.191333333,3.826,4.947666667,5.614666667,6.360666667,4.778333333,5.414,6.068,8.060333333,6.362666667,5.452
450,6.067,4.009,4.767,4.28,3.738,9.588,3.738,4.713,5.688,6.446,4.659,5.2,5.796,8.017,6.338,5.2
