"","Ozone","Temp","Press","RH","WindSpeed","WindDir","Rainfall","Latitude","Longitude","VPD","Site"
"42",15.25,63.75,29.71125,98,0,156.5,0.01,38.325623,-90.212738,0.403651759866871,1
"43",17.875,64.75,29.7175,97.75,0,150,0.01,38.325623,-90.212738,0.470894333051025,1
"44",26.1,66.125,29.7215,94.5,0.25,132.75,0.01,38.325623,-90.212738,1.22709849197822,1
"45",32.325,67.725,29.72875,87.25,0,172,0.01,38.325623,-90.212738,2.95639800758979,1
"46",32.6,68.75,29.7345,83.5,0.25,99.25,0.01,38.325623,-90.212738,3.96123250196043,1
"47",33.55,69,29.74275,82.75,0,164.5,0.01,38.325623,-90.212738,4.17878817197166,1
"48",31.375,69.875,29.74525,82.25,0,214.25,0.01,38.325623,-90.212738,4.43624770693064,1
"49",31.55,70.625,29.7435,81.25,0,154,0.01,38.325623,-90.212738,4.80272674778716,1
"50",33.525,71.025,29.749,79,0,143,0.01,38.325623,-90.212738,5.45326628726979,1
"51",35.525,72.675,29.74875,75.25,0,157.25,0.01,38.325623,-90.212738,6.8189555747779,1
"52",38.85,72.05,29.73775,76.5,1,161.5,0.01,38.325623,-90.212738,6.31270593364828,1
"53",40.875,71.725,29.7315,75.25,0.25,148.5,0.01,38.325623,-90.212738,6.57510490752214,1
"54",42.4,70.2,29.73925,77,0.25,170.75,0.01,38.325623,-90.212738,5.80840946547845,1
"55",34.825,66.825,29.74625,85.5,0,178,0.01,38.325623,-90.212738,3.27466837953113,1
"56",23.5,64.55,29.7665,91,0,178,0.01,38.325623,-90.212738,1.87771597119194,1
"57",14.6,63.275,29.776,93.5,0,178,0.01,38.325623,-90.212738,1.29116973979187,1
"58",9.25,62.15,29.77525,95,0,178,0.0075,38.325623,-90.212738,0.953963619473393,1
"59",6.425,61.15,29.794,96.25,0,178,0,38.325623,-90.212738,0.690844877944266,1
"60",3.875,60.5,29.81,97,0,178,0,38.325623,-90.212738,0.539872544742374,1
"61",1.225,59.775,29.78625,97,0,178,0,38.325623,-90.212738,0.526117773440228,1
"62",1.225,59.15,29.7885,97.25,0,178,0,38.325623,-90.212738,0.471554808579467,1
"63",2.675,59,29.80925,97.75,0,178,0,38.325623,-90.212738,0.383817448314818,1
"64",3.25,59.175,29.8295,98,0,178,0,38.325623,-90.212738,0.343318779398462,1
"65",5.375,60.95,29.84475,98.5,0,177.75,0,38.325623,-90.212738,0.27180265990975,1
"66",11.975,64.45,29.84475,97.5,0,176.5,0,38.325623,-90.212738,0.525669890808314,1
"67",17.5,68.075,29.85,88.75,0,127.5,0,38.325623,-90.212738,2.6577681222631,1
"68",25.425,70.625,29.85975,82,0,111.75,0,38.325623,-90.212738,4.61227153859113,1
"69",36.65,73.925,29.863,74.25,0.25,158.25,0,38.325623,-90.212738,7.40734290079293,1
"70",47.0333333333333,76.7333333333333,29.8543333333333,66.6666666666667,0.333333333333333,200,0,38.325623,-90.212738,10.4796150470144,1
"71",55.8,80.4,29.837,59,1,70,0,38.325623,-90.212738,14.5267276085127,1
"72",51.8666666666667,79.4,29.8456666666667,63.3333333333333,0.333333333333333,87.3333333333333,0,38.325623,-90.212738,12.5910153786174,1
"73",46.225,77.275,29.83925,67.75,1,133.75,0,38.325623,-90.212738,10.3260634124017,1
"74",41.675,76.45,29.825,71.25,0,64,0,38.325623,-90.212738,8.95158976973439,1
"75",34.825,73.75,29.82875,82.75,0,131,0,38.325623,-90.212738,4.94172613589092,1
"76",36.525,70.325,29.849,88,0.75,161.75,0.005,38.325623,-90.212738,3.04712725271888,1
"77",34.5,67.35,29.8665,93.5,0,239.5,0.09,38.325623,-90.212738,1.4985938350872,1
"78",30.875,66.3,29.8775,95.75,0,321,0.11,38.325623,-90.212738,0.937591738740483,1
"79",26.2,66.4666666666667,29.8873333333333,96,0,321,0.11,38.325623,-90.212738,0.887364979624421,1
"80",22.5666666666667,65.9,29.897,96,0,321,0.11,38.325623,-90.212738,0.870126622067915,1
