Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6,,,,,
437.9,4.525,3.529,4.072,3.439,4.661,3.982,3.484,3.982,3.891,4.976,6.517,6.991,10.071,10.664,11.493,4.072,3.801,6.667,5.476,6.905,7.024,5.833,7.5,5.238,6.667,6.31,5.357,5.952,,,,,
439.4,4.422,3.152,3.984,3.546,4.641,3.897,3.284,3.678,3.546,5.073,6.764,7.892,11.274,10.147,12.289,4.028,3.809,5.632,4.713,6.782,5.632,5.402,7.241,5.862,6.897,5.632,5.632,6.437,,,,,
440.9,4.568,3.251,4.198,3.457,4.568,3.868,3.539,3.663,3.704,5.989,6.417,6.417,11.016,10.053,11.658,3.827,3.745,6.413,5.109,5.87,6.087,5.217,7.5,5.435,6.304,6.304,6.304,6.196,,,,,
442.4,4.376,3.263,4.031,3.455,4.683,3.647,3.301,3.608,3.8,5.295,7.193,6.793,10.29,9.291,11.489,3.877,3.954,6.429,5.408,5.306,5.408,6.327,7.449,5.204,6.224,6.224,4.898,5.408,,,,,
444,4.274,3.276,3.704,3.526,4.38,3.953,3.17,3.419,3.49,5.587,6.052,6.331,9.87,9.87,10.894,3.882,3.597,5.472,4.811,5.849,5.189,4.623,6.792,5.66,5.472,5.943,5.472,5.377,,,,,
445.5,4.42,3.012,3.798,3.176,4.224,3.635,3.143,3.373,3.373,5.308,6.164,6.764,10.702,9.846,10.959,3.733,3.864,5.417,4.643,5.675,5.073,5.245,7.395,4.385,6.363,6.621,5.847,5.159,,,,,
447,4.293,3.131,3.876,3.369,4.383,3.518,3.19,3.339,3.399,5.186,6.424,6.656,9.83,8.669,10.681,3.637,3.399,5.521,5.047,5.521,4.811,5.599,6.861,4.89,5.047,5.994,4.811,5.599,,,,,
448.5,4.298,3.058,3.636,3.14,4.38,3.499,3.058,3.168,3.554,4.388,5.899,6.619,10.288,8.633,10.576,3.691,3.554,5.677,4.44,5.167,5.386,4.803,7.424,4.44,6.114,6.114,5.022,5.24,,,,,
450,4.006,2.933,3.64,3.352,4.216,3.561,3.142,3.247,3.614,5.27,5.133,6.571,10.267,8.556,10.609,3.535,3.378,5.656,4.469,5.098,5.028,5.098,7.053,4.469,5.936,5.796,5.447,5.098,,,,,
451.5,4.234,3.009,3.673,3.213,4.234,3.545,3.162,3.111,3.315,5.007,6.075,6.409,10.214,8.411,10.481,3.724,3.239,5.552,4.401,4.942,5.281,5.416,6.77,4.672,5.349,5.281,5.552,5.281,,,,,
453.1,4.307,2.905,3.67,3.211,4.23,3.568,3.236,3.16,3.415,4.542,6.188,6.057,10.007,8.427,10.862,3.644,3.491,5.444,4.435,5.309,5.309,4.973,7.258,4.099,5.712,5.645,5.78,5.376,,,,,
454.6,4.231,3.051,3.795,3.256,4.231,3.462,3.308,3.385,3.59,5.052,5.512,6.102,9.843,8.596,10.761,3.667,3.538,4.963,4.427,5.5,5.03,5.164,7.445,4.628,5.366,5.567,4.896,5.298,,,,,
456.1,4.411,3.121,3.611,3.534,4.333,3.74,3.379,3.327,3.482,4.497,6.019,6.614,10.251,8.664,10.45,3.766,3.611,5.522,4.781,5.253,5.387,4.983,6.936,4.579,5.455,6.195,5.589,5.522,,,,,
457.6,4.454,3.004,3.677,3.211,4.35,3.729,3.237,3.237,3.703,5.225,5.82,6.283,10.317,8.73,10.78,3.755,3.573,5.125,4.72,5.529,5.26,4.922,7.215,4.653,5.664,5.664,5.529,5.26,,,,,
459.1,4.255,2.958,3.736,3.295,4.489,3.84,3.373,3.425,3.633,5.347,5.677,6.205,9.505,8.845,11.023,3.71,3.503,5.231,4.762,5.567,5.433,5.298,6.774,5.164,5.433,5.5,5.5,5.097,,,,,
460.6,4.393,3.178,3.669,3.463,4.496,3.695,3.359,3.54,3.592,4.977,6.156,6.352,9.889,8.906,10.806,3.773,3.411,5.519,4.854,5.319,5.452,4.854,6.981,4.654,5.652,5.652,5.319,5.186,,,,,
462.1,4.434,3.104,3.938,3.339,4.643,3.834,3.443,3.26,3.73,5.101,5.886,6.606,9.941,8.895,10.595,3.965,3.573,5.414,4.479,5.682,5.08,5.013,7.62,5.08,6.016,5.949,5.348,5.214,,,,,
463.6,4.516,2.927,3.736,3.596,4.349,4.042,3.29,3.764,3.764,4.955,6.071,6.211,10.119,8.653,10.886,3.736,3.708,5.403,4.539,5.403,5.187,5.115,7.205,5.403,6.268,6.052,5.548,5.476,,,,,
465.1,4.729,3.163,3.825,3.614,4.729,3.825,3.373,3.494,3.825,4.827,6.486,6.335,10.332,9.125,10.558,3.916,3.765,5.937,4.395,5.628,5.86,4.934,7.556,4.703,5.937,5.937,5.551,5.32,,,,,
466.6,4.573,3.117,4.049,3.67,4.777,4.078,3.321,3.67,3.991,5.335,6.345,6.705,10.382,9.229,10.815,4.107,3.758,5.356,4.696,5.943,5.723,5.503,7.557,5.282,5.576,6.383,6.09,5.943,,,,,
468.2,4.406,3.129,3.705,3.429,4.706,3.905,3.454,3.429,3.755,4.66,5.947,6.131,10.239,8.461,10.239,3.88,3.605,5.037,4.726,5.286,5.1,5.1,6.965,5.1,5.721,5.846,5.41,5.348,,,,,
469.7,4.402,3.064,3.755,3.366,4.467,3.776,3.431,3.366,3.625,4.732,5.626,6.257,9.727,8.202,10.305,3.798,3.453,5.173,4.693,5.653,5.173,5.067,7.2,4.693,5.6,5.92,5.067,5.173,,,,,
471.2,4.361,3.024,3.76,3.334,4.478,3.76,3.16,3.295,3.605,4.397,6.034,6.127,9.822,7.998,10.196,3.664,3.47,5.165,4.495,5.5,4.735,5.069,6.839,4.687,5.548,5.691,5.261,5.069,,,,,
472.7,4.4,2.903,3.841,3.354,4.49,3.696,3.228,3.354,3.606,4.694,5.997,6.432,9.518,7.953,10.083,3.877,3.48,5.007,4.475,5.494,5.007,4.696,7,4.608,5.494,5.538,4.874,4.962,,,,,
474.2,4.363,2.977,3.593,3.354,4.432,3.73,3.183,3.217,3.662,4.568,5.391,5.72,9.547,7.942,9.835,3.833,3.491,5.139,4.212,5.307,5.097,4.76,6.95,4.591,5.434,5.729,5.181,4.971,,,,,
475.7,4.478,3.007,3.685,3.354,4.61,3.635,3.222,3.321,3.701,4.502,5.371,5.885,9.36,7.82,9.953,3.718,3.404,5.026,4.297,5.27,4.783,4.986,6.688,4.58,5.432,5.918,5.148,5.026,,,,,
477.2,4.337,3.047,3.692,3.338,4.611,3.676,3.144,3.289,3.676,4.657,5.735,6.082,9.507,7.891,9.969,3.741,3.499,4.994,4.09,5.191,4.837,5.033,6.96,4.797,5.584,5.781,5.269,5.112,,,,,
478.7,4.487,2.922,3.545,3.258,4.631,3.529,3.13,3.354,3.705,4.293,5.965,5.851,9.498,7.827,9.764,3.721,3.465,4.953,4.641,4.953,4.836,4.953,6.669,4.68,5.343,5.811,5.109,4.875,,,,,
480.2,4.507,3.01,3.782,3.3,4.571,3.718,3.187,3.267,3.766,4.57,5.636,5.941,9.444,7.845,9.825,3.718,3.477,4.892,4.423,5.166,4.971,4.814,6.81,4.579,5.245,5.714,5.205,4.853,,,,,
481.7,4.354,3.094,3.749,3.356,4.698,3.618,3.208,3.257,3.765,4.593,5.751,5.905,9.533,7.526,9.765,3.716,3.569,5.24,4.248,5.24,5.121,4.923,6.908,4.486,5.399,5.677,5.161,4.883,,,,,
483.2,4.554,2.997,3.717,3.449,4.638,3.784,3.214,3.231,3.75,4.519,5.54,6.248,9.509,7.741,10.02,3.834,3.499,5.163,4.599,5.284,5.163,4.8,6.938,4.478,5.688,5.768,5.244,4.921,,,,,
484.7,4.546,3.122,3.877,3.448,4.907,3.894,3.311,3.311,3.843,4.466,5.941,5.981,9.41,7.735,9.888,3.911,3.586,5.244,4.711,5.449,4.957,4.957,7.128,4.588,5.285,5.571,5.244,5.08,,,,,
486.2,4.595,3.18,3.756,3.424,5.014,3.721,3.354,3.372,3.948,4.545,6.034,6.074,9.574,7.683,9.855,3.809,3.704,5.2,4.292,5.365,5.035,4.994,6.851,4.787,5.489,6.067,5.2,5.159,,,,,
487.7,4.709,3.339,3.743,3.497,4.99,3.971,3.339,3.426,3.831,4.609,6.212,6.253,9.379,7.856,9.9,3.883,3.708,5.189,4.283,5.56,5.148,5.107,6.878,4.695,5.478,5.807,5.148,5.066,,,,,
489.2,4.708,3.236,3.929,3.513,5.088,3.877,3.358,3.479,3.963,4.646,5.748,6.024,9.803,7.835,9.843,3.963,3.652,5.389,4.741,5.186,5.348,4.943,6.848,4.862,5.511,5.956,5.227,5.065,,,,,
490.6,4.592,3.09,3.849,3.461,5.048,3.934,3.394,3.562,3.984,4.78,5.813,6.348,9.446,7.686,9.904,3.866,3.546,5.263,4.713,5.224,5.145,4.91,6.913,4.713,5.695,5.892,5.302,5.106,,,,,
492.1,4.749,3.134,3.868,3.542,5.239,3.884,3.313,3.395,3.884,4.681,6.082,6.266,9.252,7.704,9.878,3.884,3.623,5.352,4.599,5.239,5.164,4.975,6.747,4.674,5.428,6.031,5.089,4.938,,,,,
