Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6
1709,32.65052778,30.71413889,28.01597222,32.92558333,35.23191667,33.14527778,31.82016667,34.34558333,33.21619444,31.51836111,37.71855556,32.73975,45.33661111,42.54616667,46.11508333,35.14441667,37.55763889,34.13877778,33.37686111,32.92855556,32.96555556,38.15825,33.55822222,31.79063889,34.62794444,31.75363889,36.19905556,35.97697222
1710,32.61342857,30.68042857,27.98285714,32.87114286,35.19314286,33.09571429,31.78,34.32757143,33.20342857,31.51814286,37.73957143,32.73614286,45.27414286,42.47685714,46.06042857,35.12314286,37.55271429,34.08714286,33.32928571,32.89142857,32.97342857,38.14785714,33.55128571,31.813,34.61314286,31.67785714,36.18828571,35.943
1711,32.59228571,30.65328571,27.92857143,32.84142857,35.16142857,33.05714286,31.728,34.33071429,33.18428571,31.55242857,37.73271429,32.72642857,45.20642857,42.43657143,45.99528571,35.08142857,37.52814286,34.01942857,33.29385714,32.87828571,32.96028571,38.12957143,33.55185714,31.843,34.61742857,31.60157143,36.16285714,35.917
1712,32.57114286,30.62614286,27.87428571,32.81171429,35.12971429,33.01857143,31.676,34.33385714,33.16514286,31.58671429,37.72585714,32.71671429,45.13871429,42.39628571,45.93014286,35.03971429,37.50357143,33.95171429,33.25842857,32.86514286,32.94714286,38.11128571,33.55242857,31.873,34.62171429,31.52528571,36.13742857,35.891
1713,32.55,30.599,27.82,32.782,35.098,32.98,31.624,34.337,33.146,31.621,37.719,32.707,45.071,42.356,45.865,34.998,37.479,33.884,33.223,32.852,32.934,38.093,33.553,31.903,34.626,31.449,36.112,35.865
1714,32.53833333,30.58983333,27.76444444,32.76144444,35.07577778,32.96972222,31.58122222,34.32172222,33.08961111,31.60016667,37.6465,32.63061111,45.02072222,42.34433333,45.85222222,34.96633333,37.43705556,33.83538889,33.24216667,32.83477778,32.90566667,38.04716667,33.51522222,31.87105556,34.6035,31.41538889,36.03644444,35.84638889
1715,32.52666667,30.58066667,27.70888889,32.74088889,35.05355556,32.95944444,31.53844444,34.30644444,33.03322222,31.57933333,37.574,32.55422222,44.97044444,42.33266667,45.83944444,34.93466667,37.39511111,33.78677778,33.26133333,32.81755556,32.87733333,38.00133333,33.47744444,31.83911111,34.581,31.38177778,35.96088889,35.82777778
1716,32.515,30.5715,27.65333333,32.72033333,35.03133333,32.94916667,31.49566667,34.29116667,32.97683333,31.5585,37.5015,32.47783333,44.92016667,42.321,45.82666667,34.903,37.35316667,33.73816667,33.2805,32.80033333,32.849,37.9555,33.43966667,31.80716667,34.5585,31.34816667,35.88533333,35.80916667
1717,32.48822222,30.55533333,27.61733333,32.69233333,34.99744444,32.91244444,31.44155556,34.26422222,32.91622222,31.50455556,37.43722222,32.42,44.87733333,42.27488889,45.79311111,34.87077778,37.32133333,33.711,33.27,32.76766667,32.805,37.91555556,33.39055556,31.76922222,34.529,31.31344444,35.82533333,35.774
1718,32.43877778,30.52866667,27.61066667,32.65316667,34.94605556,32.83605556,31.37044444,34.21977778,32.84927778,31.40094444,37.38527778,32.39,44.84566667,42.17711111,45.72838889,34.83772222,37.30466667,33.716,33.215,32.71183333,32.7375,37.88444444,33.32444444,31.72227778,34.489,31.27705556,35.78866667,35.714
1719,32.38933333,30.502,27.604,32.614,34.89466667,32.75966667,31.29933333,34.17533333,32.78233333,31.29733333,37.33333333,32.36,44.814,42.07933333,45.66366667,34.80466667,37.288,33.721,33.16,32.656,32.67,37.85333333,33.25833333,31.67533333,34.449,31.24066667,35.752,35.654
1720,32.33988889,30.47533333,27.59733333,32.57483333,34.84327778,32.68327778,31.22822222,34.13088889,32.71538889,31.19372222,37.28138889,32.33,44.78233333,41.98155556,45.59894444,34.77161111,37.27133333,33.726,33.105,32.60016667,32.6025,37.82222222,33.19222222,31.62838889,34.409,31.20427778,35.71533333,35.594
1721,32.29488889,30.41555556,27.558,32.52477778,34.78055556,32.61844444,31.20688889,34.07577778,32.69044444,31.12011111,37.23211111,32.29288889,44.73533333,41.94355556,45.528,34.71255556,37.22844444,33.68677778,33.02422222,32.56522222,32.57455556,37.78488889,33.12811111,31.59322222,34.39077778,31.15144444,35.66266667,35.53644444
1722,32.251,30.3475,27.5105,32.472,34.715,32.5565,31.198,34.018,32.676,31.054,37.1835,32.254,44.6845,41.9205,45.4555,34.647,37.179,33.6365,32.937,32.5355,32.5565,37.746,33.0645,31.561,34.378,31.0945,35.606,35.4795
1723,32.20711111,30.27944444,27.463,32.41922222,34.64944444,32.49455556,31.18911111,33.96022222,32.66155556,30.98788889,37.13488889,32.21511111,44.63366667,41.89744444,45.383,34.58144444,37.12955556,33.58622222,32.84977778,32.50577778,32.53844444,37.70711111,33.00088889,31.52877778,34.36522222,31.03755556,35.54933333,35.42255556
1724,32.15674286,30.21231429,27.41237143,32.36185714,34.58928571,32.4418,31.17788571,33.89794286,32.64097143,30.9234,37.08605714,32.16582857,44.57814286,41.8698,45.31814286,34.52322857,37.08011429,33.52977143,32.77062857,32.47982857,32.51697143,37.66222857,32.93828571,31.49282857,34.33677143,30.97662857,35.49388571,35.36677143
1725,32.08045714,30.14888571,27.34922857,32.28614286,34.55071429,32.4258,31.15731429,33.81765714,32.59582857,30.8654,37.03634286,32.07497143,44.50385714,41.8238,45.28385714,34.49437143,37.03068571,33.44862857,32.72377143,32.46897143,32.48182857,37.59337143,32.87971429,31.44197143,34.24562857,30.89977143,35.44331429,35.31562857
1726,32.00417143,30.08545714,27.28608571,32.21042857,34.51214286,32.4098,31.13674286,33.73737143,32.55068571,30.8074,36.98662857,31.98411429,44.42957143,41.7778,45.24957143,34.46551429,36.98125714,33.36748571,32.67691429,32.45811429,32.44668571,37.52451429,32.82114286,31.39111429,34.15448571,30.82291429,35.39274286,35.26448571
1727,31.92788571,30.02202857,27.22294286,32.13471429,34.47357143,32.3938,31.11617143,33.65708571,32.50554286,30.7494,36.93691429,31.89325714,44.35528571,41.7318,45.21528571,34.43665714,36.93182857,33.28634286,32.63005714,32.44725714,32.41154286,37.45565714,32.76257143,31.34025714,34.06334286,30.74605714,35.34217143,35.21334286
1728,31.87291667,29.99502778,27.17736111,32.10072222,34.42116667,32.3715,31.09016667,33.62444444,32.4815,30.68863889,36.88719444,31.84111111,44.29119444,41.65538889,45.17291667,34.40738889,36.91427778,33.25052778,32.62066667,32.41463889,32.36308333,37.41283333,32.73294444,31.29408333,33.98369444,30.71638889,35.31863889,35.17252778
1729,31.82708333,29.98363889,27.13930556,32.08461111,34.36283333,32.3465,31.06183333,33.61222222,32.4665,30.62669444,36.83747222,31.80555556,44.23147222,41.56594444,45.12708333,34.37794444,36.91038889,33.23413889,32.62733333,32.37269444,32.30891667,37.38116667,32.71572222,31.24991667,33.90897222,30.70694444,35.30669444,35.13613889
1730,31.78125,29.97225,27.10125,32.0685,34.3045,32.3215,31.0335,33.6,32.4515,30.56475,36.78775,31.77,44.17175,41.4765,45.08125,34.3485,36.9065,33.21775,32.634,32.33075,32.25475,37.3495,32.6985,31.20575,33.83425,30.6975,35.29475,35.09975
1731,31.73954286,29.95997143,27.06711429,32.05462857,34.24825714,32.29465714,31.00125714,33.58908571,32.43471429,30.50445714,36.73502857,31.73125714,44.1158,41.39434286,45.03297143,34.31625714,36.89702857,33.1984,32.64025714,32.28194286,32.20491429,37.31985714,32.68202857,31.16091429,33.76377143,30.69005714,35.27862857,35.06908571
1732,31.73497143,29.93968571,27.06825714,32.06091429,34.21082857,32.25122857,30.93382857,33.58994286,32.40185714,30.45902857,36.65531429,31.66382857,44.0938,41.37777143,44.96268571,34.25882857,36.83731429,33.1524,32.64282857,32.17137143,32.19405714,37.30842857,32.67231429,31.11005714,33.73148571,30.70062857,35.22491429,35.08994286
1733,31.7304,29.9194,27.0694,32.0672,34.1734,32.2078,30.8664,33.5908,32.369,30.4136,36.5756,31.5964,44.0718,41.3612,44.8924,34.2014,36.7776,33.1064,32.6454,32.0608,32.1832,37.297,32.6626,31.0592,33.6992,30.7112,35.1712,35.1108
1734,31.72582857,29.89911429,27.07054286,32.07348571,34.13597143,32.16437143,30.79897143,33.59165714,32.33614286,30.36817143,36.49588571,31.52897143,44.0498,41.34462857,44.82211429,34.14397143,36.71788571,33.0604,32.64797143,31.95022857,32.17234286,37.28557143,32.65288571,31.00834286,33.66691429,30.72177143,35.11748571,35.13165714
1735,31.68383333,29.84816667,27.05933333,32.02466667,34.08466667,32.1135,30.7365,33.56066667,32.28983333,30.33333333,36.44866667,31.4795,43.9915,41.29966667,44.74566667,34.07866667,36.6735,33.00966667,32.60866667,31.872,32.13433333,37.26966667,32.6235,30.95266667,33.63733333,30.71233333,35.052,35.11816667
1736,31.61688889,29.77677778,27.03988889,31.93911111,34.02411111,32.05766667,30.67733333,33.50844444,32.23455556,30.30555556,36.42311111,31.442,43.909,41.23577778,44.66511111,34.00811111,36.63933333,32.95577778,32.54144444,31.81533333,32.07822222,37.25077778,32.581,30.89377778,33.60955556,30.68955556,34.97866667,35.08177778
1737,31.54994444,29.70538889,27.02044444,31.85355556,33.96355556,32.00183333,30.61816667,33.45622222,32.17927778,30.27777778,36.39755556,31.4045,43.8265,41.17188889,44.58455556,33.93755556,36.60516667,32.90188889,32.47422222,31.75866667,32.02211111,37.23188889,32.5385,30.83488889,33.58177778,30.66677778,34.90533333,35.04538889
1738,31.483,29.634,27.001,31.768,33.903,31.946,30.559,33.404,32.124,30.25,36.372,31.367,43.744,41.108,44.504,33.867,36.571,32.848,32.407,31.702,31.966,37.213,32.496,30.776,33.554,30.644,34.832,35.009
1739,31.401,29.54828571,26.92042857,31.69685714,33.81528571,31.88542857,30.53642857,33.336,32.07371429,30.20685714,36.32514286,31.287,43.64457143,40.99171429,44.41857143,33.83042857,36.53957143,32.81314286,32.34614286,31.63942857,31.91685714,37.09842857,32.42228571,30.76228571,33.48257143,30.56657143,34.776,34.90242857
1740,31.319,29.46257143,26.83985714,31.62571429,33.72757143,31.82485714,30.51385714,33.268,32.02342857,30.16371429,36.27828571,31.207,43.54514286,40.87542857,44.33314286,33.79385714,36.50814286,32.77828571,32.28528571,31.57685714,31.86771429,36.98385714,32.34857143,30.74857143,33.41114286,30.48914286,34.72,34.79585714
1741,31.237,29.37685714,26.75928571,31.55457143,33.63985714,31.76428571,30.49128571,33.2,31.97314286,30.12057143,36.23142857,31.127,43.44571429,40.75914286,44.24771429,33.75728571,36.47671429,32.74342857,32.22442857,31.51428571,31.81857143,36.86928571,32.27485714,30.73485714,33.33971429,30.41171429,34.664,34.68928571
1742,31.15919444,29.31427778,26.67011111,31.51775,33.57794444,31.70288889,30.44708333,33.12725,31.91230556,30.05997222,36.14758333,31.04963889,43.37252778,40.68572222,44.20805556,33.71622222,36.41725,32.70030556,32.15511111,31.44327778,31.76080556,36.78533333,32.193,30.71841667,33.2915,30.338,34.60655556,34.58169444
1743,31.08558333,29.27483333,26.57233333,31.51525,33.54183333,31.64066667,30.38125,33.04975,31.84091667,29.98191667,36.02675,30.97491667,43.32558333,40.65516667,44.21416667,33.67066667,36.32975,32.64891667,32.07733333,31.36383333,31.69441667,36.732,32.103,30.69925,33.2665,30.268,34.54766667,34.47308333
1744,31.01197222,29.23538889,26.47455556,31.51275,33.50572222,31.57844444,30.31541667,32.97225,31.76952778,29.90386111,35.90591667,30.90019444,43.27863889,40.62461111,44.22027778,33.62511111,36.24225,32.59752778,31.99955556,31.28438889,31.62802778,36.67866667,32.013,30.68008333,33.2415,30.198,34.48877778,34.36447222
1745,30.93836111,29.19594444,26.37677778,31.51025,33.46961111,31.51622222,30.24958333,32.89475,31.69813889,29.82580556,35.78508333,30.82547222,43.23169444,40.59405556,44.22638889,33.57955556,36.15475,32.54613889,31.92177778,31.20494444,31.56163889,36.62533333,31.923,30.66091667,33.2165,30.128,34.42988889,34.25586111
1746,30.89011429,29.156,26.33305714,31.44262857,33.39425714,31.4614,30.17202857,32.83248571,31.61462857,29.79974286,35.68942857,30.77917143,43.11848571,40.58097143,44.19228571,33.494,36.09071429,32.469,31.87517143,31.15611429,31.50357143,36.59428571,31.85177143,30.5582,33.13197143,30.05388571,34.40368571,34.23574286
1747,30.84468571,29.116,26.29534286,31.36777143,33.31454286,31.4074,30.09317143,32.77191429,31.52977143,29.77945714,35.59657143,30.73602857,42.99791429,40.56982857,44.15371429,33.404,36.02928571,32.389,31.83202857,31.11068571,31.44642857,36.56571429,31.78262857,30.4462,33.04082857,29.97931429,34.38111429,34.22545714
